# r[Mpc/h], xi_u\psi[L^2], xi_\psi\psi[L^2]
1.511511511511511685e+02 -8.432579152801698841e-02 -3.414959305040853217e-03
1.521521521521521549e+02 -8.417812128072064970e-02 -3.440773050795003455e-03
1.531531531531531698e+02 -8.402893500315902764e-02 -3.466541444275687486e-03
1.541541541541541562e+02 -8.387830004888298385e-02 -3.492263781108889600e-03
1.551551551551551711e+02 -8.372628178215645034e-02 -3.517939920571354264e-03
1.561561561561561575e+02 -8.357294427559952554e-02 -3.543569204076741069e-03
1.571571571571571724e+02 -8.341834907627988793e-02 -3.569151320586068550e-03
1.581581581581581588e+02 -8.326256371026646841e-02 -3.594685932783710323e-03
1.591591591591591737e+02 -8.310563433912251941e-02 -3.620172534732274145e-03
1.601601601601601601e+02 -8.294761566384437068e-02 -3.645610939645830412e-03
1.611611611611611750e+02 -8.278858228490361404e-02 -3.671000704232088227e-03
1.621621621621621898e+02 -8.262856362211988548e-02 -3.696341733543806983e-03
1.631631631631631763e+02 -8.246762519748580822e-02 -3.721633590667922358e-03
1.641641641641641911e+02 -8.230581409659135095e-02 -3.746875968406256866e-03
1.651651651651651775e+02 -8.214318081514242198e-02 -3.772068841135301116e-03
1.661661661661661924e+02 -8.197976578380475332e-02 -3.797211397560311483e-03
1.671671671671671788e+02 -8.181562021752530889e-02 -3.822303813202011791e-03
1.681681681681681937e+02 -8.165078583326645933e-02 -3.847345924590323853e-03
1.691691691691691801e+02 -8.148530076042206916e-02 -3.872337488457048681e-03
1.701701701701701950e+02 -8.131921842410846923e-02 -3.897277908762004656e-03
1.711711711711711814e+02 -8.115256676858463580e-02 -3.922168016181446989e-03
1.721721721721721963e+02 -8.098540214139550442e-02 -3.947006225105305355e-03
1.731731731731731827e+02 -8.081771869084394821e-02 -3.971793544877992056e-03
1.741741741741741976e+02 -8.064959979072235108e-02 -3.996529335802983911e-03
1.751751751751751840e+02 -8.048106005837650512e-02 -4.021213683465134359e-03
1.761761761761761989e+02 -8.031213544102980273e-02 -4.045846275114691956e-03
1.771771771771771853e+02 -8.014286014299785987e-02 -4.070427073877011873e-03
1.781781781781782001e+02 -7.997326182646752324e-02 -4.094956006273734427e-03
1.791791791791791866e+02 -7.980337722834474068e-02 -4.119432781491742974e-03
1.801801801801802014e+02 -7.963322894959568021e-02 -4.143857563490235298e-03
1.811811811811811879e+02 -7.946284802850772655e-02 -4.168230118795260286e-03
1.821821821821822027e+02 -7.929226442736934943e-02 -4.192550620759946667e-03
1.831831831831831892e+02 -7.912150123603679808e-02 -4.216818713027887383e-03
1.841841841841842040e+02 -7.895058640865167121e-02 -4.241034428575212942e-03
1.851851851851851904e+02 -7.877954477467494221e-02 -4.265197883752955450e-03
1.861861861861862053e+02 -7.860840004547126059e-02 -4.289308906441177682e-03
1.871871871871871917e+02 -7.843717336034257415e-02 -4.313367548901774103e-03
1.881881881881882066e+02 -7.826588820970215021e-02 -4.337373595596877643e-03
